name,rating,date_post,title,review
John B.,4,5 August 2021,All round good very  portable speaker,"Very clear, crisp sound but a little lacking on the bass. It's loud for its size and so portable and though didn't check waterproof it seems to be with thick rubber protection over the sockets and ports at the back. It fits in my jeans pocket."
Smokey Joe,5,5 August 2021,Great sound,"Leonard Cohen sounds more cheerful than ever, brilliant sound without distortion, let's hope the speaker lasts as long as he did."
Vinny,5,4 August 2021,Surprised at how good it is,"Brilliant little speaker, really surprised how good it is for the money, really happy with it."
G,5,3 August 2021,Great buy,Well worth the money and has a superb range for listening in the garden
Roberta,1,3 August 2021,Not sure,The sounds break… not working at all :(
Miss P,5,2 August 2021,Fantastic speaker,"Brilliant sound, Bluetooth spot on. Why spend a fortune when this does the job. Loud enough for a party. 5* 👍"
Colin Macrae,5,2 August 2021,Great speaker that packs a punch,"For a small speaker it packs a punch. Great sound quality, perfect for pumping out those tunes while I workout in the garage. For the price and the sou d quality you can't go wrong and the long battery life is great."
Mister Embroiderer,5,2 August 2021,Super sound and plenty of power,"Battery life is great, sound quality super. From clarity at lower level and especially with extra bass at volume. Great pricd, looks fab. Very happy with purchase."
C s westbrook,5,1 August 2021,Water resistant speaker,"Sound quality is excellent, the range is good too, only thing I'd change is to give it the ability to skip songs. For the money it is excellent."
Blanca Dimas,5,30 July 2021,100% recommended,Very easy to connect with Bluetooth and nice quality of sound.
Lee,3,30 July 2021,Ok,Does drop Bluetooth connection from time to time
David Smith,5,29 July 2021,Great little speaker,"I don't usually write reviews but thought this little speaker earned one. I wasn't expecting too much for 32 Euro but was pleasantly surprised. First on the sound quality, for something this small I can't fault it. You are not going to use it for a house party but for bringing to the beach, on holiday etc. it's perfect. It's loud enough without distorting. I use mine with base boost on, seems to drop the mid and treble to enhance the base but works well in my opinion. I bought mine for our hot tub, wanted something that would take a few splashes (it fell in once) and not be an issue. Have been using on holiday for the last 5 days and still on the charge I gave it before we left, probably 8 hours of use."
pamela,5,29 July 2021,Son said grea,Bought for son he said much better than one he had before
gary alner,5,28 July 2021,Great value for money,"Great little Bluetooth speaker for the money. Sound quality is not the best but we only use it in the garden so you don't need anything better and lets not forget the price! Battery life is really good and it truely is waterproof, its been dropped in the hot tub twice and is still going strong."
Tom W,5,27 July 2021,Great speaker for the price.,"Very good speaker for the price. The sound qaulity stays clear while loud, the bass mode does knock the volume down a little but deffinately adds more bass and depth. Bluetooth connection works great even through walls it kept going, and being splash proof was very useful for use by the hot tub. Deffinately recommend compared to much pricer alternatives."
scubagirl,5,25 July 2021,Surprisingy great!,Surprised by the quality of the sound this little speaker produces! Really clear and good bass.Good build quality and def water resistant.
mr m w nicholls,5,23 July 2021,Really great 👍,"Wow,so much better than i was expecting. The sound is great and it packs a punch on volume too."
Bizzylizzy,5,23 July 2021,Brilliant speaker,Excellent speaker. Easy to setup. Bluetooth connection brilliant. Great sound from a small compact waterproof speaker. Definitely recommend this product and seller
M Madgwick,5,23 July 2021,Great sound,Great sound light and easy to carry very pleased with quality
Mr. John A. Jeffery,5,23 July 2021,Its brilliant,"Omg the sound on this is amazing, it's handy to move around and connects easily"
Lorraine bourne,5,23 July 2021,Good value for the money,Fantastic small soundbar great sound
Robert Boath,5,21 July 2021,Bluetooth Speaker,"Good quality build, an amazing sound especially with the bass button on from such a compact little speaker. Very simple to pair via Bluetooth and it's also wireless. Ideal for moving around the house and out in the garden."
David Maccoby,4,20 July 2021,"Loud Series Bluetooth Speaker,",Good.
JonH,4,20 July 2021,"Works well, good quality sound for a small speaker","Used to play music when dining al fresco. Also used to play bird sounds to attract swifts to our swift box! Surprisingly good sound considering the size of the speaker. Only runs for about 3-4 hours if volume is set high, but that will not be a problem for most. The only fault is that there is no indication of when it is fully charged - the charging light just stays on whatever the state of charge. Good product and good value."
john kerr,3,19 July 2021,Nice speaker great sound,Nice little speaker clear sound use it in the garden and can hear it from the other side but on the downside if your using your phone and walk away from the speaker with it it disconnects after about 3 feet
Andy,5,19 July 2021,Just what we needed,Perfect for our outdoor bar. Tempted to get a second as you can link 2 devices for stereo.
Sharon,5,18 July 2021,It’s worth buying!,"I love everything about it. The speaker itself is really good, I would recommend this to anyone who are looking for a speaker they can travel with it etc. I rate it 10/10"
Shaun,1,18 July 2021,Product ok rubbish customer service,Product ok but the rear panel that covers the charge port doesn't stay closed so there is a potential for moisture to gain access to the unit . I have contacted the company to no avail.  Rubbish customer service .Would not recommend or buy again as customer service is garbage
p3r3e,3,18 July 2021,Average,"Has great reviews, but the Bluetooth connection keeps cutting out for a second when playing music."
JC,5,16 July 2021,Great value,I bought this as a portable solution for just taking down the garden when you’re doing jobs and for the price the power and quality are excellent.I realise this isn’t aimed at audiophiles and to review as such would be disingenuous and pointless; I also own some Audeze LCD-3 headphones so I know what real quality sounds like; but for getting the job done it’s fantastic.Can’t go wrong really.
Craig H,5,10 July 2021,Excellent quality all round speaker AND its rainproof.,Cracking little speaker! Use it for listening to music in the garden and great for quickly hooking up to laptop with Jack 2 phone and playing music music parties etc. Can go very loud without any distortion and very good quality. The fact it's rainproof just rounds it off perfectly.
Amazon Customer,3,10 July 2021,Not water proof,Good little speaker not very water proof tho!
Amazon Customer,5,9 July 2021,Nice sounds,"Nice, I'm very happy , super."
Eustace Augustus,5,9 July 2021,Brilliant,"Good product, I'm very happy with it"
Liam Forsyth,5,7 July 2021,Super smart little speaker,"I don’t normally write reviews for products but this nifty little speaker is an exception. For the price it is a fantastic bit of kit. Connecting to it is super easy and intuitive and it offers wired as well as Bluetooth connections. The battery life is very good and the product is build really well and feels solid. The fact it is waterproof too means it’s perfect for having out by the hot tub.The sound quality is also really good with a good top volume. It’s obviously not studio quality or surround sound but for the price you really can’t have any complaints.Fully recommend this, really pleased with my purchase."
Amazon Customer,5,6 July 2021,OUTSTANDING!!,Outstanding sound!!! The quality is so good that we are going to use it at our wedding ceremony in a weeks time. The battery life is very good and the volume of sound it puts out is phenomenal  .... without any distortion
Amazon Customer,5,6 July 2021,Bump around,Really enjoy this speaker! I've only just got it and it's bumping so let's hope it lasts!
Jasoncypress,5,4 July 2021,Won't dissapoint!,Amazing blue tooth speaker . Sounds great quality . Perfect for on the move . Battery lasts ages . Very pleased with my purchase
Amazon Customer,5,2 July 2021,Good little speaker,This is a great little speaker. Good base. Sound quality very good. Husband happy with it.
Redpeg,5,30 June 2021,Used as pigeon scarer.,Used to scare pigeons put under a vid arts peregrine Falcon . Works!!!
Vanessa Di Girolamo,5,27 June 2021,Top sound!,Bought months ago and still works perfectly! Very good sound in a small speaker!! Love it!!
Elizabeth,5,27 June 2021,Super,Amazing product.  Highly recommend.
sledge,1,25 June 2021,Good while it works !,"When I first got this it was great , quite a good sound (not sure about the bass boost, turned it on then straight off= pointless) and battery life was good.2 months later its heading for the bin ,, the bluetooth connectivity has given up , no devices I  or my friends have can find it ,,I do think a lot of these devices are made by the same company the adverts and listings do seem very similar !It annoys me that these products are simply replaced cheaply."
TLM,5,25 June 2021,Good solid product,"Charged to go straight out of the box, which was an unexpected bonus. It IS very 'bassy'. It has two settings: Bass on and off. There is a difference between the two, but both are 'low'. It doesn't seem to distort at top level and it's a 'socialable' sound level in consideration of others. I shall stick it in my camping bag and use it outdoors, where I expect it will be perfect."
Gillian wilson,5,24 June 2021,Excellent for the money,Sound quality is really good for the price. It has bass boost but you don’t really need it.
Tudor V. Roberts,5,23 June 2021,Excellent speaker,Easy to link up great speaker small but powerful love it
Qasim rasool,5,23 June 2021,Good quality product,Good quality product with long battery life and good sound quality. Its my buddy now for weekly hiking tours.
William James Mayall,4,23 June 2021,Good quality,Good quality but battery life doesn't last after a few weeks of use
Rich P,5,23 June 2021,Good value,Great for price
Amazon Customer,5,23 June 2021,Great sound,Great speaker! Great sound and battery life
just a normal buyer,5,22 June 2021,20/10 I hundred percent recommend you buy it!,These speakers are absolutely great I'm telling you. They're small and portable but have so much bass and are so loud they're are just perfect.
Valerie,5,20 June 2021,Wireless blutooth speaker,Delivered 5 days early 👍... sounds great... quite loud for a little speaker... good bass... got a 20% discount too... so for £23... i.m well chuffed with this speaker... recommend
Anonymous,5,19 June 2021,Wonderful sound,wonderful clear powerful sound
Jason Cahill,5,18 June 2021,Sound,I take mine to work great sound nice little strap to hang on things not to heavy the Bluetooth range is excellent
Chris I.,5,16 June 2021,Waterproof,Dropped it in the hot tub and it still works. You can talk to Alexa through it to change the music. Excellent.
Kobi,5,12 June 2021,Definitely would but again,"This speaker is actually the best one I’ve found for value, originally I was just looking for a small speaker that I can take into work with me but this speaker had gone above and beyond, I haven’t tested the waterproof ability but everything else is perfect, battery lasts all day and it’s very load for its size.Definitely recommend for the very good price"
davidpdavies,5,12 June 2021,Compact but loud,"Great sound quality, good bass, overall a great way of playing ya tunes via Bluetooth."
Amazon Customer,5,11 June 2021,Best portable speaker so far,So I've had this product for a few days now just for indoors and gardens. I must say it's worth buying . Have not tried to see if it's water proof even tho it says it has... don't try it just in case lol but other then that 100% buy it again loud and good quality sounds. Including bass mode.
Ilie Verdes,5,11 June 2021,👍,👍
mr tr proctor,5,11 June 2021,Great,Great little speaker
debra,5,10 June 2021,Great sound,"Great sound, so much louder and better sound quality to my previous speaker"
Andrew J,5,10 June 2021,It is very very good,When I switched it on I couldn't believe it. The bass and clarity of music really shocked me. I would totally recommend this wireless speaker to anybody who needs a little Bluetooth speaker that packs one hell of a punch.
Mr. M.R.C. Tomlin,4,9 June 2021,Review on Bluetooth speaker,This device worked well and was full charged up when it turned up and connected to my phone straight away
Kelly Webb,5,8 June 2021,"Small, powerful and easy to use! Perfect!!!","Only arrived today, and already rocking out in the garden! Sound quality is great and easy to use."
djrhodes,1,8 June 2021,30 days old and already one of the speakers is dead!,Great for the Price!
Kim,3,7 June 2021,A little too quiet,"Bought this b/c the sound on one of my laptops is too quiet. This certainly helped but I admit, I still wish it could go louder. For anything that already has decent volume (like a phone or a better laptop), it's good, so I kept it."
Twinkle dark heart,5,6 June 2021,Sounds amazing,"Omg this little speaker is amazing,  really good sound at full volume.  Easy to connect,  comes with hanging cord."
Z,5,6 June 2021,Wow,"Blown away, great product  great lrice"
C. V.,5,3 June 2021,Excellent speaker,The sound is perfect and size works great for a desktop speaker. I hook it up to bluetooth to my laptop and play it all day long (literally) and it works fantastic!
AM,5,1 June 2021,Ok,Find it useful. It’s ok for what I need.
David Howarth,5,1 June 2021,Very impressed for the price,"Only had it for a day, but so far I am very impressed by the sound.  Definitely need to have the Bass mode on, but for the cost and size its really nice.  Have used it at home and at the park and no issues with sound at all.  Connected very easily to my phone and laptop both."
WillWales,5,1 June 2021,Good,"Great connectivity, holds a very decent charge and an attractive design 👍"
Nidas,5,25 May 2021,Bluetooth Speaker,"The media could not be loaded.                      Love this device,so helpful to use my Spotify through the phone so I could use this speakers to get some mood on:) sound is good,like the actual size and really nice buy.Would recommend it if you like to play music from your phone or other devices."
james stirling,5,25 May 2021,Excellent performance for price,"I'm using it as bedroom practice amp for guitar using a looper and sdrum and British sound harley benton distortion pedal. Sound is excellent and audibly far superior to using my high output instrument does not deal that well with looped guitar tracks and drums, it behaves more like a hifi system and provides a well balanced sound with no distortion where it shouldn't be. It also pairs easily with devices and sounds impressive for size. Output for use with guitar and effects via aux input OK but don't expect it to be Glastonbury on a Saturday afternoon but for price excellent"
olivia yexley-alick,5,25 May 2021,Brilliant speaker!,What a fantastic speaker! The sound quality is amazing and the bass is brilliant! And the battery life on it lasts for soooo long. What a great piece of equipment for little price.
Hafeez,5,24 May 2021,Perfect Gadget,I am using this over a week now and found very good. Sound is great in normal mode but when I switch to base mode its bit heavy indoors and when I use it outdoors it’s brilliant. Its good little gadget for household use.
Anmar N.,5,22 May 2021,Recommended,"Good speaker, volume is adequate, water proof as back connections are protected, can join Alexa family, easy to use and pair, for the price it’s great."
Andrew Maxim,3,19 May 2021,Decent,"Great speaker, very good sound and battery life. However if you move more than about 10feet from the speaker, the connection get really crackly"
weepollypocket,4,18 May 2021,Brilliant little device,Brilliant little device.  Not as much Bass as I'd hoped for but great none the less. Doesn't connect to Huawei phones but there is a coax cable in the box to solve the issue.
Leigh G.,5,18 May 2021,Very good,For its size this Is a good little speaker.. doesn't sound bad at all and is great to hang in the shower and as a bonus it works as a mini sound bar for my tv... great product and am happy with my purchase
Giuseppe,5,16 May 2021,Very impressed by the sound quality,"I was very impressed by the sound quality, very clear and loud. It's much better than many other more expensive speakers.I got in on offer in a multiple items purchase from the same seller and I'm very satisfied.The battery life it's awesome and the Bass Mode gives an extra punch improving the overall sound quality."
Cameron McKenzie,4,14 May 2021,Tunes,"Good product goes quite loud, however the bass mode doesn’t seem to make much off a difference but could just be me not noticing. Over all good speaker."
Amazon Customer,4,13 May 2021,Great little speaker,"This little speaker has great sound and is compact. I haven't had any issues with it, but I've only had it a few weeks and have used it a few times."
Sumiya,5,12 May 2021,Bluetooth speakers,I love it. It's great. The sound quality is brilliant.
Richard Johnson,5,11 May 2021,Good little speaker,It's really good for the price. If you just want a speaker for doing housework it's really good. It's moderately loud. Good bass. Doesn't distort. Really good Bluetooth range.
Amazon Customer,5,11 May 2021,What a bargain 👌,Excellent sound quality. Convenient size to carry around. Exceeded my expectation. An absolute bargain 👌
Salah khanog,4,9 May 2021,Nice bass,Very good product am happy with it long battery life aswell.
A Puri,4,8 May 2021,Good speaker,Not as loud as had hoped however still really good and portable!
Ymonz,4,7 May 2021,Brilliant Speaker,"The speaker is brilliant! I particularly like that I can add more bass if I need to. Only downside is that the battery runs out quickly, but other than that it’s a very good buy."
coofercat,5,7 May 2021,Great little speaker,"This is a great little speaker for the size/price etc. Sure, it's not Wharfdale quality, it's probably not even Beats ""quality"" - but it does a reasonable job of making noises, has a good battery and is pretty tough. Whatever it is, it's about a zillion times better than listening to anything through your phone directly - and it's not exactly a big investment, or a big device to carry about.It's been great around and about, but yeah, we've had to tell the kids to turn it down quite often, even though it's not exactly ear-splitting, it gets loud enough that the neighbours have to put up with the kids music - and lets be honest, no one wants that. Even still, it's unlikely to upset anyone nearby too much - they're hardly going to be getting thumping bass and window-rattling trebles off this, so in some sense it's fairly self-limiting.All in all, for the money, it's been a great little purchase. Would recommend."
Lewis M.,5,5 May 2021,Great to have when you are working outside,Great wee speaker
igorvalcu,5,1 May 2021,ldl,"i think is a good speaker, good materials but u can find one better for less money"
S Baggley,5,29 April 2021,"Great quality, great sound, great price and highly waterproof.","Bought as a present for my son to use in the shower. He absolutely loves it. The sound quality is apparently excellent, with a really deep bass in ""bass mode"". For such a small unit it packs plenty of punch, with more than enough volume to fill a room, which means it can be deafening in a small shower cubicle. Unlike some supposedly waterproof speakers, this one is rated IPX7, which means it can in theory be submerged in up to 1m of water for up to an hour. My son hasn't tested that, but he says the speaker gets pretty wet in the shower and still works great. He's also very impressed with the bluetooth range, which plays music from his laptop on one side of the house into the bathroom on the other without any stuttering. Buttons on the top of the speaker let you adjust the volume, skip forwards/backwards through a playlist, pause, etc. Battery life is also excellent. Can't really fault this device, and at £29.99 it was a bargain."
Rugbyjock,5,26 April 2021,Great value for money!!,"I brought this for my garage gym, best money I’ve every spent .Dirt cheap , sound is brilliant , my mother could sync it , battery life quiet good too and when it is dead just plug it in and while charging you can still listen away"
Shaun,4,25 April 2021,Decent value for money,Overall OK on all fronts
pjhay,4,25 April 2021,Versatile,I am really enjoying this speaker. I use it when working in the summer house or when we are in the hot tub. Definitely recommend
Mr. J. D. Annis,4,24 April 2021,Great value,Great sounds good the price and size of the unit
Chaele,5,24 April 2021,Good value,Sound quality is amazing and battery life unfortunately really good
Robert,3,23 April 2021,Ok,Ok for the money
Steven G.,5,23 April 2021,"Very good value for money, 5*","Incredibly good value, easy to set up and lasts 20hrs on a charge.Brilliant!I've bee using it with Alexa in the garden and even while builders were working I can still here it clearly.I might even buy another one to make the garden surround sound lol."
Ron S.,5,16 April 2021,Good value for money 👍,Good quality actually. Surprisingly good sound 👍👍👍
john a,4,16 April 2021,Excellent Speaker great Bass,"This speaker has a really good sound, love a lot of bass and this has it in spades."
Peter Scannell,5,15 April 2021,5 stars,Yeah great product! nice and compact delivers a punch and stays alive for a good bit. Bluetooth is not unbeatable but strong enough for me within 10 meters. Couldn’t ask for more at this price. 5/5
Lorraine,5,14 April 2021,Great 😊,This is brilliant well worth the money too 😊ideal for our camper van life sounds good and for it size pretty loudHas bass function next song button volume control up and down ❤️
Alfie Shine,5,13 April 2021,Worth the money,"Love it, sounds great, easy enough to carry around, connects easily"
jackie,5,13 April 2021,Amazing for the price 👍,"Only had it today , it's fab ,the sound is amazing, looks nice to , can't say a bout the battery as only now setting it up which was so easy , my daughter got a different one and payed a lot more and I think mine is nicer, very happy 😀😀"
Amazon Customer,5,13 April 2021,Great sound quality,Brilliant purchase
Yvette c,5,12 April 2021,Beautiful sound,Amazing. I charge it up and I have music wherever I go. I've had it a few months now and works well. Great sound. Best purchase I've made. You honestly wont regret it.
weather,1,11 April 2021,would not work,would not work with my laptop and sent it back
Tina Hines,5,11 April 2021,Great quality at a low price,Wasn’t really sure how good the quality of this would be due to the low price but I have to say I was not disappointed.I brought this so I could listen to music off my phone while working out down the bottom off my garden in my summerhouse.It sounds great and can go really loud and have the bass up and no ones affected. 😍😍
Marcin,5,11 April 2021,Amazing,Amazing
Miss D.,3,10 April 2021,Disconnects from Bluetooth randomly,So it is a good speaker. I have mine running for long periods (over night with noise cancelling white noise or sleep aid and daily with music). Every so often the speaker disconnects itself from Bluetooth. It is really annoying. If you only use for short periods - it is a good speaker but if like me you use constantly - it is not.
S,5,10 April 2021,A super speaker,This was such a good price for such a great speaker! I use it all the time and the battery lasts really well! I like the bass feature and the overall volume and sounds quality is great too
Gordon,5,10 April 2021,Amazing,Great product everything it describes and better
M. Carstairs,5,9 April 2021,Great value,Great value for the price
Robert Cooper,3,8 April 2021,Functions,Base option is poor quality
Gillian barrett,5,8 April 2021,Seems ok but too early for accurate review,It is actually too early to give a comprehensive review but the speaker seems ok so fa
sandra,5,7 April 2021,Volume not high enough,I wish the volume could go a bit higher
Mark Doughty,5,7 April 2021,Great little speaker,"Great little speaker for the money, good sound quality and a full charge will last a good few hours. Set ours up with Alexa, very easy to do"
Jordan,5,6 April 2021,WICKED,a really good small speaker with great sound quality which is so important
David,5,5 April 2021,Good loud speaker,The sound quality it really good but the battery nlive could be a little better fit on the plus side it's really loud
abe,5,4 April 2021,Very good!,Impressed is a understatement considering how low the price is
Shane pike,4,3 April 2021,Not bad for indoors in a room but not for outside,Not bad but not really loud enough
Charlotte Elwood,5,2 April 2021,Happy with this purchase,"Was so simple to set up and absolutely buzzing over the sound quality, a real decent speaking ‘thumbs up’"
nick parry,5,1 April 2021,Easy to use and I use it every day,I love it and use it every day nice and loud and the battery lasts for ages
Dee,5,29 March 2021,"Good for price, so far..",All good. Does the job
christopher bragg,5,29 March 2021,Excellent,Once connected works well
Kindle Customer,5,28 March 2021,turn on link happy hot bath,really enjoyable. turn on' link' hot bath with good quality music
Gemma wilkinson,5,26 March 2021,Brilliant,"Love it, love the size and sound, and easy to use, perfect!"
Ricardo Azevedo,5,25 March 2021,Great water resistant BT speaker,"I bought this speaker to play music around the hot tub outside and the sound is very good, good bass and loud enough for the size. The fact that is water resistant is perfect if it rains. Very easy to pair with your phone. Battery life is very impressive, I've used it 2 consecutive times for over 2-3 hours each time on one full charge."
Phil Snelman,5,24 March 2021,Great product,Great sound booster and long battery life
Paul,2,23 March 2021,Ok,None
Luke,5,22 March 2021,Excellent,"Sound is amazing, the bass through speaker is perfect"
Beachy,5,22 March 2021,Superb,Superb
Mr. G. WILLIAMS,5,21 March 2021,Great Value,Ideal as a portable speaker when there is no power supply available
T Hays,5,21 March 2021,"Great sound, great value",Brilliant
Danielle,2,21 March 2021,Doesn’t hold a charge,5 months old and no longer holds a charge
Mrs Bear6,5,20 March 2021,Superb  Speaker,"I bought one of these speakers and found them so good that I bought another four so I could have them dotted around my house. They replaced some more expensive mains powered Blaupunkt speakers. The sound quality and level is really surprising for the size, as is the base level output. Besides this they connect very quickly with my Oneplus phone as the have Bluetooth 5.0, and they and stay connected unlike, the Blaupunkt speakers that used Bluetooth 4.0 and timed out when I paused music for longer than 15 minutes.  Although these speakers are extremely portable (not much bigger than my phone, but much thicker, of course) I use them plugged into the mains for radio plays, podcasts and classical music."
Amazon Customer,5,19 March 2021,A really good product,"A great product, battery lasts well and sound quality is great"
amazonian,5,19 March 2021,This has been perfect for annoying neighbours!,"I have purchased many bluetooth speakers but I hope this to be my last for quite a while!  It's been GREAT!Since purchasing in February, I've not run out of power whilst in the garden, which is where I wanted it for most.  So far I've been in the garden for around 6 hours and it's kept going....and loudly!  Although not at full volume for the whole of the time, I really think it will be still good for the forthcoming summer months when I will be in the garden double that time.  It's covering is robust, the strap seems very well fixed and used all the time to hang from various hooks in the garden.  I had a discount voucher at the time - and a bonus speaker that I've not even opened the packaging - but I'd say it would still be worth around £30.  Certainly comparing to what one finds on the high street.  The volume is GREAT, the best I've had so far as better watts times two!I don't know how long it takes to recharge, I just plug it in once I'm back from the garden and switch off after a few hours.  I'm sure I saw its charge percentage on my phone once but I don't actively look for the information.Yes, I would recommend this speaker!"
S. G. Pathakji,5,19 March 2021,Great little speaker..,Very impressive sound from this little very lightweight speaker.  I would definitely recommend..
Andreas Teschner,5,18 March 2021,One is enough unfortunately...,"As they are already stereo, one can't pair them for true stereo sound. They work great on ones chest close to your face to watch movies and all else though! Love them."
Lyndsey Horrocks,5,18 March 2021,Amazed,Brilliant product I am surprised something so small can be so powerful
Nev  Dunn,4,18 March 2021,Good sound but charge and connect issues,"Battery life is a couple of hours. It doesn't have a charger plate like Bose so you then have to plug it into usb to charge.Also, it wont connect to the device of choice if other devices are connected by accident, so you have to go round turning off bluetooth on other devices"
T,1,17 March 2021,Quality,Item was faulty
S Wragg,1,16 March 2021,Sent it back,Poor quality sound!
Amazon Customer,5,15 March 2021,Every home should have one; or more!,"This has been transformative.  Radio is now a pleasure to hear, rather than an annoyance.  With free Amazon Music on Prime we have all been able to find music styles that we enjoy, enhanced by the sound quality of A15, rediscovering old passions.  The best thing has been the way we can now make the baby sleep with the soporific lullaby collections.  It is so portable!"
Derek Hodson,2,15 March 2021,Portable Speaker,Speaker cracked after 1 week so not worth the money. However sound quality was great up to that point.
Flavia,2,15 March 2021,Sound not clear.,after not ever 1 month the sound became robotic and it is just annoying.
marge simpson,1,15 March 2021,Rubbish power on button,It's a great speaker but power button is really had to press. I have to stand and put a lot of weight on it to turn on. Perhaps it's just mine or maybe a poor design. Not sure.
Sally Brown,5,13 March 2021,BASS IN YA FACE!! BOOM!!,"Smart looking, loud, clear sounds, OK battery life and dirty sounding bass.All in all, not a bad little buy! 😁If you can hear music 🎶 it's probably me! Lockdown Disco for ONE!!🙅‍♀️🙆‍♀️🙅‍♀️🙆‍♀️"
Sandra Nethercott,5,12 March 2021,Perfect portable speaker,"Very easy to connect to device, great sound quality, charge lasts ages! Nice and light to move where needed, good bluetooth range"
john kennedy,4,12 March 2021,Brilliant,So far I am very satisfied with this speaker for its price. The sound is impressive.
lee anderson,2,11 March 2021,Not great at all.,Not that loud at all and battery lasted about 3 hours not good
Kevin McCombs,5,10 March 2021,Absolutely purrrrfect 👍,My old Bluetooth portable speaker gave up after about 5 yrsSoo I needed another for the garageI play my music from my iPhone and rock radio stationThe sound quality is just absolutely A1 but a added bonus I had no idea aboutThe speaker has a inbuilt microphone which when your phone rings allows you to chat thru without touching your phone as it has a button on the speaker to receive callsMy point beingIf your hands are gloved and dirtyIt’s much better just using the speaker button rather than trying to pick up the phone and run the risk of dropping itAnyway that’s a massive bonus for meWhich takes this a 5star rating for me
Aled,5,10 March 2021,Really good,Really good
In the Trade I know best,2,10 March 2021,No longer charges!,"This was purchased as a gift in December. Speaker will no longer charge, I’m unsure if this is a common issue with this speaker or not? Disappointing as everything else about the speaker has been great."
Daniel B Gyamfi,4,9 March 2021,Great,"Very compact sound with acceptable impedance, connects to Bluetooth devices swiftly and its good value for money."
Yvonne,5,8 March 2021,Brilliant,Brilliant for price great speaker
Rustie,4,8 March 2021,The instructions are clear and easy to follow.,If you are a little hard of hearing this this will solve your problem.
Amazon Customer,5,8 March 2021,Value,Excellent does just as well as speakers twice the price
nudrePAI,5,7 March 2021,Cool sound,"Long battery life, loud and clear sound"
PC,5,6 March 2021,Good value for money and great bass power,"Very practical, sturdy design, easy to connect to your other wireless devices, very good sound from its 7Wx2 speakers & great bass power. Battery life: average. Recommended."
Seambo,5,6 March 2021,Its all about the base,Tried a few wireless speakers now some more expensive than this.  An they werrnt great.  I love the base an loudness of this. Perfect for Garden or bathroom
TIM,1,5 March 2021,Expensive Compared to J&B. Time delay.,Compared to J&B this Chinese brand is more expensive. I got sucked into Amazon Choice twice now for low quality products. Not gonna happen again. There is a delay with this speak when used to watch TV or movies.
Ramblerman,5,5 March 2021,Nice speaker,Good price and reasonable sound.
Um,3,3 March 2021,Bog standard speaker,Expected it to mean much louder.It won't connect unless every other device has its Bluetooth switched off
Theo Stegeman,5,3 March 2021,Very good for the money and sound,Very good for the money and sound
onlineshopper,2,3 March 2021,Don't trust the description,"I returned this as the product description, packaging information and insert information did not match eachother and couldn't be trusted. I wanted a long range speaker but different ranges listed so didn't bother to try just got a refun instead. Warranty info also different. Don't trust brands like that, this stuff should be clear."
Lauren Jones,5,2 March 2021,Really happy with it,"Good sound, looks and feels solid, easy to use."
Lorelay,3,2 March 2021,Not as great as expected,"This is definitely not lasting the hours it states it should, maybe 12h tops. The sound quality isn't that great either, I have another speaker which is supposed to be less w than this (I ain't very good at this I'll admit) and sounds far more loud and clear than this one.Not the best, I guess for the money it is what it is. Hopefully it at least lasts for a while."
Rachel,5,2 March 2021,Great speaker!,Great speaker! Also waterproof so can use whilst showering! Can get really loud! Well worth the price and bought one as a gift too! Would deffo recommend
Chersse mcadams,5,2 March 2021,Bluetooth speaker,Great love it very loud for such a small thing brillant seller and speedy service
Jacqueline Halliday-Bell,5,2 March 2021,Good sound,I like this product. It gives good sound quality and it’s handy as well as being splash  resistant.
Connor Garner-Jones,5,28 February 2021,Amazing,"Used for in the shower, had a JBL one before this and this is even better and cheaper, very impressed :)"
taylor,1,28 February 2021,decent speaker but useless wirelessly,"sounds pretty good when connected via cable but on bluetooth the sound cuts out constantly and wildly, sometimes a whole song plays without issue and then the speaker starts cutting out and skipping every 10 seconds"
Adlin,5,26 February 2021,Good for  the price has a good bass small  with  a big punch,Use  it in my garage  when  I am doing  gym and it fill's the room/garage
KirstyB,5,25 February 2021,Fantastic sounding and robust speaker!,"I bought two of these at Christmas for the kids, wish I'd bought one for me too. Brilliant, sound quality is great they last for hours and are easy to charge! If you're looking for sound quality and good charge times without paying a fortune.. buy this!"
Derek Cordiner,5,24 February 2021,Bluetooth speaker with built in microphone,Brilliant sound for a good price
TerryM,5,24 February 2021,Works great as an external speaker for a tablet of laptop,Sound quality: goodVolume: goodConnectivity: Wireless via bluetooth or wired via 3.5mm jack cableValue for money: ExcellentWell recommended
stella hutton,5,22 February 2021,Good,BrilliantBattery last around 12 hours which is ok but sound qaulity and level is brilliant!!
Louisa Gardner,5,22 February 2021,Great portable speaker. 💗,"I like how good the sound is for how small it is, it also came fully charged and lasted hours! I use it to listen to audio books when I clean the house. The fact I can also hang it near my shower without worry of damaging it is brilliant. I highly recommended this."
HarG,5,22 February 2021,Great speaker,Very good price and does the job perfectly.
Rose,5,22 February 2021,Perfect,"Got this because I realised that I forgot my speaker when I arrived to uni. Next day this was delivered. This has everything I want in a speaker - waterproof, great quality and bass. Loud!!! Life is good 😎"
OccasionalReviewer,5,21 February 2021,"Highly recommended, I went by the reviews and I’m so glad","I brought this after reading the reviews, and I’m so pleased that I did, the sound quality is great! Big house but the sound travels quiet far, I love it!!! Buy if your looking for a nice small, portable loud speaker."
